antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['roe_low', 'net_margin_low']","['ann_fin_flag_1', 'roa_low']",0.12031782065834279,0.04215988324955408,0.039078968704394354,0.3247978436657682,7.703955007256893,1.0,0.034006383432597834,1.418597538181299,0.9892169722928658,0.31668856767411296,0.2950784326877929,0.6258604602944224
"['roa_low', 'roe_low']","['ann_fin_flag_1', 'net_margin_low']",0.12177720123236582,0.04183557645532674,0.039078968704394354,0.3209054593874833,7.670635535048874,1.0,0.033984349291722005,1.4109440825138229,0.9902187770061965,0.3138020833333333,0.29125469081783883,0.6275069932596331
['roa_low'],"['ann_fin_flag_1', 'net_margin_yoy_crash', 'net_margin_low']",0.13085779147073132,0.0207556348305497,0.02059348143343603,0.15737298636926889,7.582181304213134,1.0,0.01787744489893731,1.1621326510172743,0.9988144905394287,0.15717821782178218,0.13951303310801144,0.5747802431846345
['roa_low'],"['ann_fin_flag_1', 'roe_low', 'net_margin_low']",0.13085779147073132,0.039403275498621694,0.039078968704394354,0.29863692688971494,7.578987358555029,1.0,0.03392274309593194,1.3696140577254632,0.9987505418963274,0.2978986402966626,0.2698673072466023,0.6452032371074089
['roa_low'],"['ann_fin_flag_1', 'net_margin_low']",0.13085779147073132,0.04183557645532674,0.041024809469758394,0.3135068153655514,7.493785001392851,1.0,0.03555029832990941,1.3957377072212116,0.9970245118282108,0.311576354679803,0.28353300564551626,0.6470634852021556
['net_margin_low'],"['ann_fin_flag_1', 'roa_low', 'roe_low']",0.131019944867845,0.03988973568996271,0.039078968704394354,0.2982673267326732,7.477295138050388,1.0,0.03385261773350253,1.368199459545873,0.9968719004521032,0.2964329643296433,0.2691124141125478,0.6389710617403203
['net_margin_low'],"['ann_fin_flag_1', 'roa_low', 'net_margin_yoy_crash']",0.131019944867845,0.02107994162477704,0.02059348143343603,0.15717821782178218,7.4562928408225435,1.0,0.01783158864394035,1.1614793056786787,0.996438400042316,0.15659679408138102,0.13902899938826085,0.5670506473724295
['net_margin_low'],"['ann_fin_flag_1', 'roa_low']",0.131019944867845,0.04215988324955408,0.041024809469758394,0.3131188118811881,7.426937357197258,1.0,0.035501023890767036,1.394477142944793,0.9958283763341487,0.3104294478527607,0.2828853416067864,0.6430978674790556
['roe_low'],"['ann_fin_flag_1', 'roa_low', 'net_margin_low']",0.1289119507053673,0.041024809469758394,0.039078968704394354,0.30314465408805025,7.389300718422947,1.0,0.03379038048833177,1.3761467084323862,0.9926312244525941,0.2986369268897149,0.2733332907948945,0.6278569120242622
['roe_low'],"['ann_fin_flag_1', 'roa_low']",0.1289119507053673,0.04215988324955408,0.03988973568996271,0.30943396226415093,7.339535558780841,1.0,0.03445482289875215,1.3870362346386238,0.9915778290321996,0.30407911001236093,0.27903830121601814,0.6277939042089985
['roe_low'],"['ann_fin_flag_1', 'net_margin_low']",0.1289119507053673,0.04183557645532674,0.039403275498621694,0.3056603773584905,7.306230802983763,1.0,0.03401016972888199,1.3799650665181433,0.9908648410137614,0.29999999999999993,0.27534397481296513,0.6237604212373847
"['roa_low', 'net_margin_low']","['ann_fin_flag_1', 'roe_low']",0.12729041673423058,0.04264634344089509,0.039078968704394354,0.3070063694267516,7.198890799447821,1.0,0.033650497875611696,1.3814754051450318,0.9866852933784197,0.29863692688971505,0.2761362263304162,0.6116780896563415
['roa_low'],"['ann_fin_flag_1', 'roe_low']",0.13085779147073132,0.04264634344089509,0.03988973568996271,0.3048327137546469,7.147921466634628,1.0,0.034309129372984866,1.3771557947294077,0.989595467783036,0.29854368932038833,0.2738657428395846,0.6200969652423425
"['roa_low', 'net_margin_yoy_crash']","['ann_fin_flag_1', 'net_margin_low']",0.06940165396465056,0.04183557645532674,0.02059348143343603,0.2967289719626168,7.092742519742085,1.0,0.017690023232871763,1.3624397783293027,0.9230736513398451,0.22719141323792488,0.26602260451742393,0.39448851698906034
