Symbol,ShortName,violation_year,rule_score_sum,n_rules_triggered,rule_ids,industry,ann_fin_flag
300742,*ST 越博,2021,75,4,R2;R3;R4;R5,未分类,
600881,亚泰集团,2014,75,4,R2;R3;R4;R5,综合类,0.0
300023,宝德股份,2018,75,4,R2;R3;R4;R5,未分类,1.0
300388,国祯环保,2014,75,4,R2;R3;R4;R5,环境保护,
600800,天津磁卡,2013,75,4,R2;R3;R4;R5,化工原料,1.0
600112,ST 天成,2022,75,4,R2;R3;R4;R5,未分类,1.0
600603,ST 兴业,2008,75,4,R2;R3;R4;R5,区域地产,
600165,新日恒力,2016,75,4,R2;R3;R4;R5,化工原料,
600701,*ST 工新,2019,70,4,R1;R3;R4;R5,未分类,0.0
300336,*ST 新文,2021,70,4,R1;R3;R4;R5,未分类,1.0
600280,中央商场,2025,70,4,R1;R3;R4;R5,百货,
300449,汉邦高科,2023,70,4,R1;R3;R4;R5,IT设备,
600969,郴电国际,2024,70,4,R1;R3;R4;R5,水力发电,
600719,大连热电,2022,70,4,R1;R3;R4;R5,供气供热,
300742,越博动力,2022,70,4,R1;R3;R4;R5,未分类,
600247,*ST 成城,2015,70,4,R1;R3;R4;R5,未分类,1.0
600678,四川金顶,2017,70,4,R1;R3;R4;R5,水泥,
603843,正平股份,2024,70,4,R1;R3;R4;R5,建筑工程,
300309,吉艾科技,2021,70,4,R1;R3;R4;R5,未分类,
300300,海峡创新,2023,70,4,R1;R3;R4;R5,软件服务,
600715,文投控股,2022,70,4,R1;R3;R4;R5,影视音像,1.0
600275,武昌鱼,2012,70,4,R1;R3;R4;R5,未分类,1.0
600870,ST 厦华,2018,70,4,R1;R3;R4;R5,未分类,
300297,*ST 蓝盾,2022,70,4,R1;R3;R4;R5,未分类,
300469,信息发展,2023,70,4,R1;R3;R4;R5,软件服务,
300064,金刚退,2020,70,4,R1;R3;R4;R5,未分类,
600781,ST 辅仁,2022,70,4,R1;R3;R4;R5,未分类,0.0
600800,天津磁卡,2014,70,4,R1;R3;R4;R5,化工原料,
600432,*ST 吉恩,2016,70,4,R1;R3;R4;R5,未分类,0.0
300492,华图山鼎,2024,70,4,R1;R3;R4;R5,文教休闲,
300495,*ST 美尚,2022,70,4,R1;R3;R4;R5,未分类,
300495,*ST 美尚,2023,70,4,R1;R3;R4;R5,未分类,
300422,博世科,2023,70,4,R1;R3;R4;R5,环境保护,
600766,退市园城,2023,70,4,R1;R3;R4;R5,未分类,1.0
600421,ST 仰帆,2019,70,4,R1;R3;R4;R5,未分类,1.0
600822,上海物贸,2016,70,4,R1;R3;R4;R5,汽车服务,
300392,*ST 腾信,2022,70,4,R1;R3;R4;R5,未分类,
600831,广电网络,2025,70,4,R1;R3;R4;R5,影视音像,
600856,退市中天,2020,70,4,R1;R3;R4;R5,未分类,1.0
600239,云南城投,2021,70,4,R1;R3;R4;R5,区域地产,
601005,重庆钢铁,2016,70,4,R1;R3;R4;R5,普钢,1.0
600401,*ST 海润,2017,70,4,R1;R3;R4;R5,未分类,1.0
300116,保力新,2019,70,4,R1;R3;R4;R5,未分类,
600136,ST 明诚,2021,70,4,R1;R3;R4;R5,房产服务,1.0
300198,ST 纳川,2025,70,4,R1;R3;R4;R5,塑料,
600369,西南证券,2007,70,4,R1;R3;R4;R5,证券,
300197,节能铁汉,2025,70,4,R1;R3;R4;R5,环境保护,
300197,节能铁汉,2023,70,4,R1;R3;R4;R5,环境保护,
600306,ST 商城,2022,70,4,R1;R3;R4;R5,未分类,
600165,*ST 宁科,2023,70,4,R1;R3;R4;R5,化工原料,1.0
300108,*ST 吉药,2021,70,4,R1;R3;R4;R5,未分类,
603169,兰石重装,2021,70,4,R1;R3;R4;R5,专用机械,
300157,新锦动力,2023,70,4,R1;R3;R4;R5,专用机械,
600359,新农开发,2019,70,4,R1;R3;R4;R5,种植业,0.0
300157,恒泰艾普,2022,70,4,R1;R3;R4;R5,专用机械,1.0
603398,*ST 沐邦,2023,70,4,R1;R3;R4;R5,电气设备,1.0
603398,*ST 沐邦,2025,70,4,R1;R3;R4;R5,电气设备,
600121,郑州煤电,2020,70,4,R1;R3;R4;R5,煤炭开采,
600800,天津磁卡,2006,70,4,R1;R3;R4;R5,化工原料,
600234,山水文化,2015,70,4,R1;R3;R4;R5,装修装饰,
600432,*ST 吉恩,2017,70,4,R1;R3;R4;R5,未分类,
300266,兴源环境,2023,70,4,R1;R3;R4;R5,环境保护,1.0
300266,兴源环境,2022,70,4,R1;R3;R4;R5,环境保护,1.0
600117,*ST 西钢,2019,70,4,R1;R3;R4;R5,特种钢,1.0
300266,兴源环境,2021,70,4,R1;R3;R4;R5,环境保护,
600234,ST 山水,2018,70,4,R1;R3;R4;R5,装修装饰,
300237,美晨科技,2024,70,4,R1;R3;R4;R5,汽车配件,
600319,ST 亚星,2021,70,4,R1;R3;R4;R5,化工原料,
300027,华谊兄弟,2023,70,4,R1;R3;R4;R5,影视音像,
600234,山水文化,2016,70,4,R1;R3;R4;R5,装修装饰,
300262,巴安水务,2022,70,4,R1;R3;R4;R5,未分类,
300262,巴安水务,2023,70,4,R1;R3;R4;R5,未分类,
600290,*ST 华仪,2022,70,4,R1;R3;R4;R5,未分类,
600306,商业城,2015,65,3,R2;R3;R4,未分类,
600877,中国嘉陵,2015,65,3,R2;R3;R4,半导体,
601258,庞大集团,2018,65,3,R2;R3;R4,未分类,
601777,力帆股份,2017,65,3,R2;R3;R4,摩托车,
600853,龙建股份,2024,65,3,R2;R3;R4,建筑工程,1.0
601777,*ST 力帆,2018,65,3,R2;R3;R4,摩托车,0.0
600281,太化股份,2015,65,3,R2;R3;R4,小金属,1.0
601003,柳钢股份,2013,65,3,R2;R3;R4,普钢,0.0
600804,*ST 鹏博,2021,65,3,R2;R3;R4,未分类,0.0
600656,ST 方源,2009,65,3,R2;R3;R4,未分类,
600651,飞乐音响,2018,65,3,R2;R3;R4,电器仪表,
600129,太极集团,2016,65,3,R2;R3;R4,中成药,
600129,太极集团,2014,65,3,R2;R3;R4,中成药,1.0
600250,南纺股份,2018,65,3,R2;R3;R4,商贸代理,1.0
600671,天目药业,2025,65,3,R2;R3;R4,中成药,
600186,莲花健康,2017,65,3,R2;R3;R4,食品,1.0
600546,山煤国际,2013,65,3,R2;R3;R4,煤炭开采,1.0
300478,杭州高新,2022,65,3,R2;R3;R4,塑料,
600768,宁波富邦,2015,65,3,R2;R3;R4,铝,
600653,申华控股,2015,60,3,R1;R3;R4,汽车服务,1.0
600639,浦东金桥,2011,60,3,R2;R4;R5,园区开发,1.0
600595,中孚实业,2015,60,3,R1;R3;R4,铝,1.0
601599,浙文影业,2021,60,3,R1;R3;R4,纺织,
600293,三峡新材,2016,60,3,R1;R3;R4,玻璃,1.0
600117,西宁特钢,2022,60,3,R1;R3;R4,特种钢,1.0
600293,三峡新材,2012,60,3,R1;R3;R4,玻璃,1.0
600408,安泰集团,2016,60,3,R1;R3;R4,焦炭加工,
600083,*ST 博信,2024,60,3,R1;R3;R4,未分类,
600408,安泰集团,2017,60,3,R1;R3;R4,焦炭加工,
600490,鹏欣资源,2010,60,3,R1;R3;R4,铜,
600579,ST 黄海,2007,60,3,R1;R3;R4,化工机械,
300256,星星科技,2020,60,3,R1;R3;R4,元器件,1.0
600654,*ST 中安,2019,60,3,R1;R3;R4,仓储物流,1.0
600653,申华控股,2018,60,3,R1;R3;R4,汽车服务,1.0
600589,*ST 榕泰,2022,60,3,R1;R3;R4,软件服务,0.0
600782,新钢股份,2013,60,3,R1;R3;R4,普钢,0.0
600567,山鹰国际,2023,60,3,R1;R3;R4,造纸,1.0
600155,宝硕股份,2006,60,3,R1;R3;R4,证券,1.0
300125,*ST 聆达,2024,60,3,R1;R3;R4,电气设备,1.0
600203,福日电子,2011,60,3,R1;R3;R4,元器件,1.0
600198,*ST 大唐,2007,60,3,R1;R3;R4,通信设备,
603322,超讯通信,2025,60,3,R1;R3;R4,通信设备,1.0
603322,超讯通信,2023,60,3,R1;R3;R4,通信设备,
600193,创兴资源,2014,60,3,R2;R4;R5,装修装饰,
600540,新赛股份,2022,60,3,R1;R3;R4,种植业,1.0
300159,ST 新研,2022,60,3,R1;R3;R4,农用机械,
603157,*ST 拉夏,2020,60,3,R1;R3;R4,未分类,1.0
600228,*ST 昌九,2013,60,3,R1;R3;R4,互联网,
600561,江西长运,2017,60,3,R1;R3;R4,公共交通,
603085,天成自控,2020,60,3,R1;R3;R4,汽车配件,
300167,*ST 迪威,2024,60,3,R1;R3;R4,软件服务,
600396,*ST 金山,2018,60,3,R1;R3;R4,火力发电,1.0
603021,山东华鹏,2021,60,3,R2;R4;R5,家居用品,
600401,*ST 海润,2013,60,3,R1;R3;R4,未分类,
600481,双良节能,2026,60,3,R1;R3;R4,电气设备,
600401,*ST 海润,2014,60,3,R1;R3;R4,未分类,
601005,重庆钢铁,2012,60,3,R1;R3;R4,普钢,1.0
600282,南钢股份,2016,60,3,R1;R3;R4,普钢,
300388,国祯环保,2017,60,3,R2;R4;R5,环境保护,
600869,远东股份,2021,60,3,R1;R3;R4,电气设备,1.0
600726,华电能源,2013,60,3,R1;R3;R4,火力发电,1.0
600735,新华锦,2007,60,3,R1;R3;R4,服饰,0.0
600751,海航科技,2021,60,3,R1;R3;R4,水运,
300370,ST 安控,2020,60,3,R1;R3;R4,电器仪表,
300374,中铁装配,2024,60,3,R1;R3;R4,其他建材,
600836,*ST 界龙,2019,60,3,R1;R3;R4,未分类,
600250,南纺股份,2013,60,3,R1;R3;R4,商贸代理,
600462,ST 九有,2022,60,3,R1;R3;R4,未分类,
300478,杭州高新,2021,60,3,R1;R3;R4,塑料,
600760,中航黑豹,2016,60,3,R1;R3;R4,航空,1.0
600462,*ST 石岘,2007,60,3,R1;R3;R4,未分类,
600766,退市园城,2024,60,3,R1;R3;R4,未分类,1.0
600804,ST 鹏博士,2022,60,3,R1;R3;R4,未分类,0.0
600804,*ST 鹏博,2024,60,3,R1;R3;R4,未分类,
600804,*ST 鹏博,2023,60,3,R1;R3;R4,未分类,
300449,汉邦高科,2022,60,3,R1;R3;R4,IT设备,
603555,贵人鸟,2021,60,3,R1;R3;R4,未分类,
600722,*ST 金化,2015,60,3,R1;R3;R4,化工原料,
600876,洛阳玻璃,2012,60,3,R1;R3;R4,玻璃,
300344,立方数科,2021,60,3,R1;R3;R4,未分类,1.0
600876,洛阳玻璃,2016,60,3,R1;R3;R4,玻璃,1.0
600656,博元投资,2006,60,3,R1;R3;R4,未分类,1.0
600671,*ST 目药,2023,60,3,R1;R3;R4,中成药,
600671,ST 目药,2022,60,3,R1;R3;R4,中成药,
600281,华阳新材,2016,60,3,R1;R3;R4,小金属,1.0
600671,天目药业,2019,60,3,R1;R3;R4,中成药,0.0
600677,航天通信,2007,60,3,R1;R3;R4,未分类,1.0
300716,国立科技,2022,60,3,R1;R3;R4,塑料,0.0
600966,博汇纸业,2014,60,3,R1;R3;R4,造纸,
300318,博晖创新,2020,60,3,R2;R4;R5,医疗保健,
600281,华阳新材,2014,60,3,R1;R3;R4,小金属,1.0
600706,曲江文旅,2024,60,3,R1;R3;R4,旅游景点,1.0
600706,曲江文旅,2025,60,3,R1;R3;R4,旅游景点,
300338,ST 开元,2022,60,3,R1;R3;R4,文教休闲,
600712,南宁百货,2007,60,3,R1;R3;R4,百货,
600275,退市昌鱼,2022,60,3,R1;R3;R4,未分类,
300340,科恒股份,2021,60,3,R1;R3;R4,电气设备,
300657,弘信电子,2024,60,3,R1;R3;R4,元器件,
300125,*ST 聆达,2022,60,3,R1;R3;R4,电气设备,1.0
600877,*ST 嘉陵,2011,60,3,R1;R3;R4,半导体,1.0
600319,亚星化学,2015,60,3,R1;R3;R4,化工原料,
300108,吉药控股,2020,60,3,R1;R3;R4,未分类,
600385,退市金泰,2022,60,3,R1;R3;R4,未分类,
300010,豆神教育,2022,60,3,R1;R3;R4,软件服务,
603959,ST 百利,2024,60,3,R1;R3;R4,建筑工程,
603828,柯利达,2023,60,3,R1;R3;R4,装修装饰,
600387,海越能源,2018,60,3,R1;R3;R4,未分类,1.0
603828,ST 柯利达,2024,60,3,R1;R3;R4,装修装饰,
600375,汉马科技,2023,60,3,R1;R3;R4,汽车整车,1.0
600359,新农开发,2012,60,3,R1;R3;R4,种植业,1.0
600319,*ST 亚星,2014,60,3,R1;R3;R4,化工原料,
300117,嘉寓股份,2022,60,3,R1;R3;R4,未分类,
300029,ST 天龙,2022,60,3,R1;R3;R4,建筑工程,
600382,广东明珠,2014,60,3,R2;R4;R5,普钢,
300100,双林股份,2020,60,3,R1;R3;R4,汽车配件,
300068,南都电源,2025,60,3,R1;R3;R4,电气设备,1.0
300199,翰宇药业,2021,55,3,R1;R4;R5,化学制药,1.0
600275,ST 昌鱼,2016,55,3,R1;R4;R5,未分类,
601929,吉视传媒,2023,55,3,R1;R4;R5,影视音像,1.0
300356,*ST 光一,2022,55,3,R1;R4;R5,未分类,
600701,*ST 工新,2016,55,3,R1;R4;R5,未分类,1.0
300027,华谊兄弟,2022,55,3,R1;R4;R5,影视音像,
300028,金亚科技,2019,55,3,R1;R4;R5,未分类,1.0
601901,方正证券,2017,55,3,R2;R3;R5,证券,
